201600000279,CD943,5069175,236163,62,3
201600000281,boulevard clÈmenceau,5064271,239789,62,3
201600000282,rue de licques,5078184,198870,62,3
201600000283,avenue Paul MACHY,5098005,205705,62,3
201600000284,595 rue georges mauffait,5087464,208359,62,3
201600000286,rue du communal,5084352,211443,62,3
201600000288,480 avenue des jonquille,5091155,199296,62,3
201600000289,rue basse boulogne,5058827,224959,62,3
201600000292,4 reu de sains ‡ FIEFS,0,0,62,3
201600000293,rue de la calandre,5038339,233350,62,3
201600000294,36 rue d Aire,5047815,227237,62,3
201600000296,Place Ml LECLERC CD941,5038117,233574,62,3
201600000299,place louis lebel,5038178,233586,62,3
201600000300,D 104 PR 25 + 400,5043041,217241,62,3
201600000301,RD8,5036494,238799,62,3
201600000304,88 rue de Laires,5051755,222933,62,3
201600000318,rue de faune,5020516,253364,62,3
201600000322,rue principale,5026369,236958,62,3
201600000323,95  Rte du TREPORT,4989177,171651,80,3
201600000324,23 ter GENERAL LECLERC,4988409,201978,80,3
201600000325,RD 113,5000521,233710,80,3
201600000326,RD 40,5012513,180144,80,3
201600000327,RD 940,5017462,168118,80,3
201600000328,RD 940,5017968,158727,80,3
201600000329,VC N∞6,5015432,160979,80,3
201600000330,VC  rue des canadiens ,5017586,162009,80,3
201600000331,CH DE HALAGE,5017220,165806,80,3
201600000332,CARR RD47/VC306,5005199,253259,80,3
201600000333,RUE DU GENERAL LECLERC,5004160,211683,80,3
201600000334,Route de bray,4998335,267334,80,3
201600000335,Rte de BRAY-SUR-SOMME,4998436,267231,80,3
201600000336,120 AV GENERAL FAIDHERBE,5000676,266285,80,3
201600000337,55  Av GÈnÈral Leclerc,5000097,264145,80,3
201600000338,RUE Aristide BRIAND,5000333,263998,80,3
201600000339,RD 50,5004205,265794,80,3
201600000340,av du gÈnÈral faidherbe,5000603,266139,80,3
201600000341,85 AV DE LA REPUBLIQUE,5000430,265699,80,3
201600000342,route de bray,4999323,265726,80,3
201600000343,D151,5006687,269867,80,3
201600000344,RD 151,5003458,266614,80,3
201600000345,route de PoziËres,5001007,271405,80,3
201600000346,D91,4999964,259458,80,3
201600000348,rue Fontaine minÈrale,4952477,366483,02,3
201600000354,RD 338,0,0,02,3
201600000356,"D35 - ""Les Ètangs""",0,0,02,3
201600000357,rue du village,0,0,02,3
201600000358,25 rue victor hugo,0,0,02,3
201600000363,Rue du 7∞ BCA,4948930,344609,02,3
201600000381,rue jules lefebvre,4919971,351393,02,3
201600000386,Rue de Saint-Quentin,4998223,345277,02,3
201600000390,rue de sery les mezieres,0,0,02,3
201600000403,21 rue du pont araby,4941023,313601,02,3
201600000411,AVENUE DE COMPIEGNE,4925664,308494,02,3
201600000412,2  rue de verdun,4917802,312734,02,3
201600000421,rue de l armistice,0,0,02,3
201600000424,rue Charles de Gaulle,5000809,360745,02,3
201600000427,route de la sablonniËre,4980455,405527,02,3
201600000429,avenue Joffre,4993046,407422,02,3
201600000430,rue du haut rouet,4993078,407934,02,3
201600000432,2 rue alexandre dumas,4992523,407698,02,3
201600000438,rue du gÈnÈral de gaulle,4942011,215253,60,3
201600000442,hameau de l alouette,4938030,223058,60,3
201600000445,CD 981,4940642,204381,60,3
201600000456,Route de Sommereux,4966905,194947,60,3
